0.945 0.0020
0.949 0.0051
0.955 0.0142
0.961 0.0618
0.963 0.0841
0.965 0.1539
0.969 0.1813
0.974 0.1813
0.978 0.2000
0.984 0.2278
0.988 0.2410
0.992 0.2451
1.000 0.2501
1.007 0.2582
1.013 0.2663
1.019 0.2684
1.023 0.2663
1.031 0.2714
1.042 0.2886
1.050 0.3000
1.056 0.3018
1.062 0.2987
1.073 0.2987
1.091 0.3139
1.096 0.3180
1.099 0.3200
1.106 0.3220
1.116 0.3220
1.128 0.3291
1.133 0.3362
1.145 0.3433
1.153 0.3443
1.157 0.3473
1.163 0.3473
1.174 0.3554
1.190 0.3727
1.200 0.3808
1.225 0.3777
1.230 0.3777
1.242 0.3828
1.252 0.3858
1.261 0.3868
1.289 0.3818
1.300 0.3777
1.312 0.3818
1.329 0.3848
1.349 0.3787
1.360 0.3727
1.376 0.3676
1.384 0.3666
1.389 0.3676
1.397 0.3706
1.401 0.3716
1.416 0.3686
1.436 0.3615
1.455 0.3514
1.471 0.3473
1.490 0.3504
1.502 0.3534
1.523 0.3473
1.548 0.3352
1.570 0.3241
1.599 0.3170
1.614 0.3200
1.632 0.3220
1.647 0.3210
1.690 0.2977
1.732 0.2906
1.758 0.2886
1.773 0.2856
1.796 0.2765
1.833 0.2653
1.866 0.2613
1.922 0.2572
2.000 0.2400
