 5566.29  5532.20 1.10802e-09 9.55147e-10 9.55147e-10 1.10802e-09
 5532.20  5498.69 5.54391e-10 1.32953e-10 1.32953e-10 5.54391e-10
 5498.69  5465.75 2.22562e-09 8.96660e-10 8.96660e-10 2.22562e-09
 5465.75  5433.35 1.79056e-09 1.23270e-09 1.23270e-09 1.79056e-09
 5433.35  5401.50 2.20542e-09 2.23043e-09 2.23043e-09 2.20542e-09
 5401.50  5370.15 1.42888e-09 1.07458e-09 1.07458e-09 1.42888e-09
 5370.15  5339.30 2.38338e-10 2.22484e-10 2.22484e-10 2.38338e-10
 5339.30  5308.94 -7.95052e-10 5.94605e-10 5.94605e-10 -7.95052e-10
 5308.94  5279.08 2.22000e-09 9.66726e-10 9.66726e-10 2.22000e-09
 5279.08  5249.67 3.05997e-09 3.68962e-10 3.68962e-10 3.05997e-09
 5249.67  5220.72 2.12420e-09 8.81273e-10 8.81273e-10 2.12420e-09
 5220.72  5192.21 3.06425e-09 4.96302e-10 4.96302e-10 3.06425e-09
 5192.21  5164.14 5.33005e-10 9.30483e-10 9.30483e-10 5.33005e-10
 5164.14  5136.49 9.38183e-10 1.24839e-10 1.24839e-10 9.38183e-10
 5136.49  5109.25 1.09535e-09 5.83417e-10 5.83417e-10 1.09535e-09
 5109.25  5082.39 1.69791e-09 4.35559e-10 4.35559e-10 1.69791e-09
 5082.39  5055.94 2.22026e-09 4.09360e-10 4.09360e-10 2.22026e-09
 5055.94  5029.87 2.15403e-09 3.03132e-10 3.03132e-10 2.15403e-09
 5029.87  5004.19 3.02988e-09 1.40512e-10 1.40512e-10 3.02988e-09
 5004.19  4978.86 1.59185e-09 2.85639e-10 2.85639e-10 1.59185e-09
 4978.86  4953.89 3.96875e-09 5.16938e-10 5.16938e-10 3.96875e-09
 4953.89  4929.27 5.14891e-09 6.04292e-10 6.04292e-10 5.14891e-09
 4929.27  4904.98 5.28563e-09 2.29307e-10 2.29307e-10 5.28563e-09
 4904.98  4881.03 6.24379e-09 7.38124e-10 7.38124e-10 6.24379e-09
 4881.03  4857.43 5.25445e-09 4.74606e-10 4.74606e-10 5.25445e-09
 4857.43  4834.14 7.30629e-09 1.72161e-10 1.72161e-10 7.30629e-09
 4834.14  4811.17 7.90604e-09 2.69984e-10 2.69984e-10 7.90604e-09
 4811.17  4788.50 6.57229e-09 5.06057e-10 5.06057e-10 6.57229e-09
 4788.50  4766.13 6.55073e-09 4.55872e-10 4.55872e-10 6.55073e-09
 4766.13  4744.07 6.52096e-09 3.77421e-10 3.77421e-10 6.52096e-09
 4744.07  4722.31 6.22293e-09 5.43908e-10 5.43908e-10 6.22293e-09
 4722.31  4700.83 5.02765e-09 5.82634e-10 5.82634e-10 5.02765e-09
 4700.83  4679.65 5.47560e-09 3.02274e-10 3.02274e-10 5.47560e-09
 4679.65  4658.74 4.85485e-09 2.20927e-10 2.20927e-10 4.85485e-09
 4658.74  4638.10 3.87442e-09 4.39169e-10 4.39169e-10 3.87442e-09
 4638.10  4617.74 3.05260e-09 3.15786e-10 3.15786e-10 3.05260e-09
 4617.74  4597.65 3.41523e-09 2.82197e-10 2.82197e-10 3.41523e-09
 4597.65  4577.82 2.56863e-09 2.74889e-10 2.74889e-10 2.56863e-09
 4577.82  4558.26 2.26302e-09 4.26402e-10 4.26402e-10 2.26302e-09
 4558.26  4538.94 1.23581e-09 4.10077e-10 4.10077e-10 1.23581e-09
 4538.94  4519.89 -1.61375e-10 3.75277e-10 3.75277e-10 -1.61375e-10
 4519.89  4501.08 9.31761e-10 3.40477e-10 3.40477e-10 9.31761e-10
 4501.08  4482.52 8.30415e-10 3.96091e-10 3.96091e-10 8.30415e-10
 4482.52  4464.21 8.71997e-10 9.39396e-11 9.39396e-11 8.71997e-10
 4464.21  4446.13 2.41117e-10 1.69427e-10 1.69427e-10 2.41117e-10
 4446.13  4428.28 -9.34093e-11 1.41109e-10 1.41109e-10 -9.34093e-11
 4428.28  4410.68 7.33506e-11 1.12790e-10 1.12790e-10 7.33506e-11
 4410.68  4393.30 5.59592e-10 4.47166e-10 4.47166e-10 5.59592e-10
 4393.30  4376.15 4.15351e-10 2.25131e-10 2.25131e-10 4.15351e-10
 4376.15  4359.22 -7.07869e-10 1.86641e-10 1.86641e-10 -7.07869e-10
 4359.22  4342.52 1.65249e-10 1.48151e-10 1.48151e-10 1.65249e-10
 4342.52  4326.02 8.95389e-10 1.53472e-10 1.53472e-10 8.95389e-10
 4326.02  4309.74 1.59368e-10 8.08664e-10 8.08664e-10 1.59368e-10
 4309.74  4293.66 2.88192e-10 2.49599e-10 2.49599e-10 2.88192e-10
 4293.66  4277.78 4.80867e-10 4.53238e-10 4.53238e-10 4.80867e-10
 4277.78  4262.10 -6.07479e-10 4.15577e-10 4.15577e-10 -6.07479e-10
 4262.10  4246.61 1.91988e-10 3.77916e-10 3.77916e-10 1.91988e-10
 4246.61  4231.30 5.93791e-10 7.27482e-10 7.27482e-10 5.93791e-10
 4231.30  4216.18 -6.27508e-10 7.00700e-10 7.00700e-10 -6.27508e-10
 4216.18  4201.23 6.03542e-10 6.73918e-10 6.73918e-10 6.03542e-10
 4201.23  4186.45 -2.75613e-10 3.36959e-10 3.36959e-10 -2.75613e-10
 4186.45  4171.83 -4.14025e-10 3.31460e-10 3.31460e-10 -4.14025e-10
 4171.83  4157.38 3.28080e-10 3.25961e-10 3.25961e-10 3.28080e-10
 4157.38  4143.06 -7.47857e-10 2.45920e-10 2.45920e-10 -7.47857e-10
 4143.06  4128.89 4.35250e-10 1.65880e-10 1.65880e-10 4.35250e-10
 4128.89  4114.85 1.33251e-09 6.05136e-10 6.05136e-10 1.33251e-09
 4114.85  4100.93 -7.08004e-11 8.27846e-10 8.27846e-10 -7.08004e-11
 4100.93  4087.12 2.54420e-11 1.05056e-09 1.05056e-09 2.54420e-11
 4087.12  4073.41 -5.81863e-10 5.25278e-10 5.25278e-10 -5.81863e-10
 4073.41  4059.80 -1.12125e-09 1.04950e-09 1.04950e-09 -1.12125e-09
 4059.80  4046.27 9.81768e-10 1.57371e-09 1.57371e-09 9.81768e-10
 4046.27  4032.80 1.93298e-09 1.36652e-09 1.36652e-09 1.93298e-09
 4032.80  4019.38 7.27535e-10 5.00595e-10 5.00595e-10 7.27535e-10
 4019.38  4006.01 1.20067e-09 1.41206e-09 1.41206e-09 1.20067e-09
