 2.86839  2.86845 2.71268e-10 0.0 0.0 2.71268e-10
 2.86845  2.86851 2.66394e-10 0.0 0.0 2.66394e-10
 2.86851  2.86857 2.61225e-10 0.0 0.0 2.61225e-10
 2.86857  2.86862 2.47857e-10 0.0 0.0 2.47857e-10
 2.86862  2.86868 2.23537e-10 0.0 0.0 2.23537e-10
 2.86868  2.86874 1.89380e-10 0.0 0.0 1.89380e-10
 2.86874  2.86880 1.27997e-10 0.0 0.0 1.27997e-10
 2.86880  2.86885 3.58769e-11 0.0 0.0 3.58769e-11
 2.86885  2.86891 1.42064e-10 0.0 0.0 1.42064e-10
 2.86891  2.86897 1.99489e-10 0.0 0.0 1.99489e-10
 2.86897  2.86902 2.33010e-10 0.0 0.0 2.33010e-10
 2.86902  2.86908 2.50674e-10 0.0 0.0 2.50674e-10
 2.86908  2.86914 2.62420e-10 0.0 0.0 2.62420e-10
 2.86914  2.86920 2.62180e-10 0.0 0.0 2.62180e-10
 2.86920  2.86925 2.70944e-10 0.0 0.0 2.70944e-10
 2.86925  2.86931 2.41905e-10 0.0 0.0 2.41905e-10
 2.86931  2.86937 2.53930e-10 0.0 0.0 2.53930e-10
 2.86937  2.86943 2.74054e-10 0.0 0.0 2.74054e-10
 2.86943  2.86948 2.87496e-10 0.0 0.0 2.87496e-10
 2.86948  2.86954 2.94430e-10 0.0 0.0 2.94430e-10
 2.86954  2.86960 2.93585e-10 0.0 0.0 2.93585e-10
 2.86960  2.86966 2.87012e-10 0.0 0.0 2.87012e-10
 2.86966  2.86971 2.74354e-10 0.0 0.0 2.74354e-10
 2.86971  2.86977 2.85341e-10 0.0 0.0 2.85341e-10
 2.86977  2.86983 2.73548e-10 0.0 0.0 2.73548e-10
 2.86983  2.86989 2.77059e-10 0.0 0.0 2.77059e-10
 2.86989  2.86994 2.69475e-10 0.0 0.0 2.69475e-10
 2.86994  2.87000 2.57557e-10 0.0 0.0 2.57557e-10
 2.87000  2.87006 2.29768e-10 0.0 0.0 2.29768e-10
 2.87006  2.87012 1.68031e-10 0.0 0.0 1.68031e-10
 2.87012  2.87017 4.49506e-11 0.0 0.0 4.49506e-11
 2.87017  2.87023 1.66874e-10 0.0 0.0 1.66874e-10
 2.87023  2.87029 1.98408e-10 0.0 0.0 1.98408e-10
 2.87029  2.87035 2.42459e-10 0.0 0.0 2.42459e-10
 2.87035  2.87040 2.63374e-10 0.0 0.0 2.63374e-10
 2.87040  2.87046 2.74304e-10 0.0 0.0 2.74304e-10
 2.87046  2.87052 2.81400e-10 0.0 0.0 2.81400e-10
 2.87052  2.87057 2.84176e-10 0.0 0.0 2.84176e-10
 2.87057  2.87063 2.79305e-10 0.0 0.0 2.79305e-10
 2.87063  2.87069 2.56289e-10 0.0 0.0 2.56289e-10
 2.87069  2.87075 2.15112e-10 0.0 0.0 2.15112e-10
 2.87075  2.87080 2.70907e-10 0.0 0.0 2.70907e-10
 2.87080  2.87086 2.78845e-10 0.0 0.0 2.78845e-10
 2.87086  2.87092 2.78854e-10 0.0 0.0 2.78854e-10
 2.87092  2.87098 2.66693e-10 0.0 0.0 2.66693e-10
 2.87098  2.87103 2.53255e-10 0.0 0.0 2.53255e-10
 2.87103  2.87109 2.64646e-10 0.0 0.0 2.64646e-10
 2.87109  2.87115 2.59865e-10 0.0 0.0 2.59865e-10
 2.87115  2.87121 2.48092e-10 0.0 0.0 2.48092e-10
 2.87121  2.87126 2.24967e-10 0.0 0.0 2.24967e-10
 2.87126  2.87132 1.76323e-10 0.0 0.0 1.76323e-10
 2.87132  2.87138 1.96960e-10 0.0 0.0 1.96960e-10
 2.87138  2.87144 1.61799e-10 0.0 0.0 1.61799e-10
 2.87144  2.87149 8.76191e-11 0.0 0.0 8.76191e-11
 2.87149  2.87155 5.53892e-11 0.0 0.0 5.53892e-11
 2.87155  2.87161 1.39250e-10 0.0 0.0 1.39250e-10
 2.87161  2.87167 1.73679e-10 0.0 0.0 1.73679e-10
 2.87167  2.87172 7.40185e-11 0.0 0.0 7.40185e-11
 2.87172  2.87178 2.02833e-10 0.0 0.0 2.02833e-10
 2.87178  2.87184 2.35765e-10 0.0 0.0 2.35765e-10
 2.87184  2.87190 2.50038e-10 0.0 0.0 2.50038e-10
 2.87190  2.87195 2.52535e-10 0.0 0.0 2.52535e-10
 2.87195  2.87201 2.60758e-10 0.0 0.0 2.60758e-10
 2.87201  2.87207 2.50124e-10 0.0 0.0 2.50124e-10
 2.87207  2.87213 2.50074e-10 0.0 0.0 2.50074e-10
 2.87213  2.87218 2.41309e-10 0.0 0.0 2.41309e-10
 2.87218  2.87224 2.27630e-10 0.0 0.0 2.27630e-10
 2.87224  2.87230 1.98900e-10 0.0 0.0 1.98900e-10
 2.87230  2.87235 1.47831e-10 0.0 0.0 1.47831e-10
 2.87235  2.87241 1.45711e-10 0.0 0.0 1.45711e-10
 2.87241  2.87247 2.13568e-10 0.0 0.0 2.13568e-10
 2.87247  2.87253 2.28783e-10 0.0 0.0 2.28783e-10
 2.87253  2.87258 2.09563e-10 0.0 0.0 2.09563e-10
 2.87258  2.87264 9.92604e-11 0.0 0.0 9.92604e-11
 2.87264  2.87270 1.88158e-10 0.0 0.0 1.88158e-10
 2.87270  2.87276 1.95019e-10 0.0 0.0 1.95019e-10
 2.87276  2.87281 1.36480e-10 0.0 0.0 1.36480e-10
 2.87281  2.87287 1.02441e-10 0.0 0.0 1.02441e-10
 2.87287  2.87293 1.48747e-10 0.0 0.0 1.48747e-10
 2.87293  2.87299 1.42344e-10 0.0 0.0 1.42344e-10
 2.87299  2.87304 8.32874e-11 0.0 0.0 8.32874e-11
 2.87304  2.87310 4.63796e-11 0.0 0.0 4.63796e-11
 2.87310  2.87316 1.10463e-10 0.0 0.0 1.10463e-10
 2.87316  2.87322 8.79521e-11 0.0 0.0 8.79521e-11
 2.87322  2.87327 5.87340e-11 0.0 0.0 5.87340e-11
 2.87327  2.87333 1.44000e-10 0.0 0.0 1.44000e-10
 2.87333  2.87339 1.46119e-10 0.0 0.0 1.46119e-10
